,AUS Month,Average Temp (1980 - 1999),Monthly Precipitation (1980-1999),Precipiation(1980-1999),Average Temp(1940-1959),Precipitation(1940-1959)
0,January,25.87815308,145.2147442,54.08542875,-10.15891557,56.02172327
1,February,25.43440959,152.1000659,50.10966809,-8.92103649,50.80353646
2,March,24.16736274,132.2469297,59.51437374,-4.480659199,60.84075182
3,April,21.87514947,95.78192808,65.55661286,2.211140583,63.11362501
4,May,18.2866508,65.68873722,70.43493967,8.659985169,71.05330457
5,June,14.87427667,46.7608082,68.00114649,14.12858357,68.20698072
6,July,13.97126723,47.37453042,74.48428044,18.06787353,73.07779172
7,August,15.74230903,42.63793169,74.43675767,17.69644591,77.57282465
8,September,18.38154405,49.62307584,76.55364909,13.25482535,75.87185244
9,October,21.80694187,58.67578397,69.6023086,6.582813748,67.09686444
10,November,23.8718099,86.57668973,65.11055405,-1.204904228,60.2682821
11,December,25.00430203,136.4244906,57.89741514,-7.46817439,56.69994225
